"Excel CSV """"date format""""",,,,,,,,,,,,,,,
"Reference date","Open market operations excl. MonPol portfolios","Marginal lending facility","Deposit facility","Net liquidity effect from Autonomous Factors and MonPol portfolios","Current accounts","Reserve requirements","Excess liquidity","Covered bonds purchase programme","Securities markets programme","Covered bonds purchase programme 2","Covered bonds purchase programme 3","ABS purchase programme","Public sector purchase programme","Corporate sector purchase programme","Pandemic emergency purchase programme"
10/04/20,888553,15,262359,-1240960,1867169,135703,1993810,,,,,,,,
13/04/20,888553,15,262359,-1241017,1867226,135703,1993867,842,41117,2911,276422,31783,2183037,204978,50708
14/04/20,888553,6,275189,-1246527,1859897,135703,1999376,,,,,,,,
15/04/20,893099,8,271185,-1246644,1868566,135703,2004040,,,,,,,,
16/04/20,893099,0,267911,-1236697,1861885,135703,1994093,,,,,,,,
17/04/20,893099,0,272013,-1240707,1861793,135703,1998102,842,41117,2911,277937,31589,2180882,206359,70674
20/04/20,893099,1,293537,-1218185,1817748,135703,1975581,,,,,,,,
21/04/20,893099,0,293287,-1209424,1809236,135703,1966820,,,,,,,,
22/04/20,911938,0,291380,-1198012,1818571,135703,1974247,,,,,,,,
23/04/20,911938,0,294797,-1223806,1840948,135703,2000041,,,,,,,,
24/04/20,911938,3,331635,-1221212,1801518,135703,1997447,717,40174,2911,277927,31203,2189995,207129,96719
27/04/20,911938,0,346566,-1251534,1816906,135703,2027769,,,,,,,,
28/04/20,911938,0,343124,-1234668,1803483,135703,2010903,,,,,,,,
29/04/20,948704,0,356186,-1221676,1814194,135703,2034676,,,,,,,,
30/04/20,948851,0,361803,-1239867,1826916,135703,2053015,,,,,,,,
01/05/20,948851,0,361803,-1239867,1826916,135703,2053015,717,38535,2911,277696,30936,2189257,207067,118811
04/05/20,948851,21,387798,-1290914,1851988,135703,2104062,,,,,,,,
05/05/20,948851,5,402119,-1296163,1842901,135703,2109311,,,,,,,,
06/05/20,963182,0,271766,-1287461,1978877,139395,2111249,,,,,,,,
07/05/20,963182,0,254285,-1292494,2001391,139395,2116281,,,,,,,,
08/05/20,963182,0,254328,-1299068,2007922,139395,2122856,717,38535,2911,278720,30954,2196371,209642,152908
11/05/20,963182,5,260555,-1297680,2000312,139395,2121468,,,,,,,,
12/05/20,963182,0,257472,-1296090,2001801,139395,2119878,,,,,,,,
13/05/20,969918,0,266980,-1287224,1990162,139395,2117748,,,,,,,,
14/05/20,969918,0,273874,-1272338,1968382,139395,2102861,,,,,,,,
15/05/20,969918,0,269032,-1267491,1968378,139395,2098015,717,38535,2911,279750,31115,2207307,211966,181786
18/05/20,969918,0,279772,-1261658,1951804,139395,2092182,,,,,,,,
19/05/20,969918,0,272574,-1265795,1963139,139395,2096319,,,,,,,,
20/05/20,978556,0,266463,-1256741,1968834,139395,2095903,,,,,,,,
21/05/20,979407,3,259408,-1258045,1978047,139395,2098058,,,,,,,,
22/05/20,979407,12,299631,-1265569,1945356,139395,2105581,717,38535,2911,280778,30738,2216852,213147,211858
25/05/20,979407,37,295035,-1268967,1953376,139395,2108979,,,,,,,,
26/05/20,979407,167,299949,-1244558,1924183,139395,2084570,,,,,,,,
27/05/20,998220,30,306929,-1246779,1938099,139395,2105604,,,,,,,,
28/05/20,997980,35,307416,-1249669,1940268,139395,2108254,,,,,,,,
29/05/20,997980,50,322357,-1276294,1951967,139395,2134879,717,38535,2911,281481,30886,2218218,212505,234665
01/06/20,997980,11,332087,-1293561,1959465,139395,2152146,,,,,,,,
02/06/20,997980,0,347239,-1304237,1954977,139395,2162822,,,,,,,,
03/06/20,1012398,0,348718,-1304087,1967767,139395,2177090,,,,,,,,
04/06/20,1012398,8,343444,-1301372,1970334,139395,2174376,,,,,,,,
05/06/20,1012398,9,362046,-1310828,1961189,139395,2183831,717,38535,2911,282700,30911,2228112,214821,260128
08/06/20,1012398,9,363773,-1306342,1954976,139395,2179345,,,,,,,,
09/06/20,1012398,14,368081,-1313491,1957822,139395,2186494,,,,,,,,
10/06/20,1026220,16,236631,-1296327,2085933,141186,2181362,,,,,,,,
11/06/20,1026220,25,254005,-1297448,2069688,141186,2182482,,,,,,,,
12/06/20,1026220,27,246535,-1300791,2080504,141186,2185825,717,38535,2911,282993,30922,2234284,217313,287260
15/06/20,1026220,7,244245,-1311566,2093548,141186,2196600,,,,,,,,
16/06/20,1026220,0,242979,-1282412,2065653,141186,2167446,,,,,,,,
